wavelength[nm], transmission
392.0, 0.0
396.6173361522199, 0.5693251165789519
400.845665961945, 10.779092258557881
403.3826638477801, 55.883675948000544
404.22832980972515, 95.31570029838214
410.14799154334037, 97.01362961630157
420.29598308668074, 97.99934026059707
431.2896405919662, 98.13338731201176
439.7463002114165, 97.98554570944478
454.122621564482, 97.97534973685394
460.8879492600423, 97.4031757455805
472.72727272727275, 97.82031097716403
482.8752642706131, 97.9549577916723
486.25792811839324, 98.23624668256039
494.71458773784354, 97.37918522183737
505.708245243129, 98.22245213140809
512.4735729386892, 98.21765402665947
517.5475687103594, 97.36299161831077
523.4672304439747, 97.64248121991814
531.0782241014799, 97.06970746555112
540.3805496828752, 97.48864198641537
545.4545454545455, 59.75454695395319
552.2198731501057, 1.5937204804102407
559.0, 0.0
