wavelength[nm], transmission
313.0, 0.0
315.4334038054968, 0.6269023735624444
317.9704016913319, 15.660564077189505
317.9704016913319, 25.305954148111496
320.507399577167, 37.92826833400808
321.35306553911204, 53.38866147871591
323.0443974630021, 77.50093712983372
323.89006342494713, 89.98260687028625
337.4207188160676, 94.65386172461878
345.03171247357295, 95.92505960145743
355.1797040169133, 94.92495464291605
367.86469344608884, 95.76702202629961
372.09302325581393, 95.19664732430691
378.0126849894292, 94.19954118123341
379.70401691331926, 87.53167498837959
383.0866807610994, 67.6711199076365
384.77801268498945, 21.428785629676284
389.85200845665963, 1.1414991078523968
394.0, 0.0
