wavelength[nm], transmission
676.0, 0.0
680.7610993657505, 0.6514926603991285
684.9894291754757, 10.010195972590822
688.3720930232558, 12.135456494684604
694.291754756871, 94.54260567076005
701.0570824524312, 97.37468699863554
705.2854122621565, 95.9532484668556
709.5137420718816, 97.79422128259338
718.8160676532771, 97.3620919736704
723.0443974630022, 99.06122081777698
732.3467230443974, 97.91987165069797
740.8033826638479, 97.48834210486858
745.877378435518, 97.91027544120072
751.7970401691332, 97.19685724138965
757.7167019027485, 98.18556670115305
764.4820295983087, 97.75523668151081
765.3276955602537, 97.89648089004844
770.401691331924, 97.32550642496214
777.1670190274841, 98.31361612163195
789.0063424947147, 97.87968752342825
798.30866807611, 98.1567780726613
811.8393234672304, 98.00533789153285
820.2959830866808, 98.5667161471219
826.215644820296, 97.4277660324172
835.5179704016914, 72.31478565966444
843.1289640591967, 32.30938779182222
852.431289640592, 9.891442880062371
860.0422832980973, 2.0846265725038506
864.2706131078224, 0.8050320123551273
868.0, 0.0
