MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60209.982023,14.487,0.005,5822,30,o,0,18.94,41.57554,-30.23949,6697.46,10402.64,2.85,2.25,-37.3,-0.396,19.44,20.73,03a60210o0553o
60209.982473,14.496,0.005,5774,30,o,0,32.73,41.57554,-30.23949,3445.48,62.94,2.24,2.1,-58.1,-0.384,19.43,20.72,03a60210o0554o
60209.991918,14.5,0.005,5752,31,o,0,21.11,41.57554,-30.23949,3505.62,142.4,2.26,2.09,-35.7,-0.4,19.47,20.79,03a60210o0571o
60209.994251,14.497,0.005,5772,31,o,0,12.82,41.57554,-30.23949,6723.96,10285.52,2.67,2.17,-37.8,-0.398,19.49,20.82,03a60210o0576o
60211.226432,14.485,0.006,5836,37,o,0,34.33,41.57554,-30.23949,3394.2,197.48,2.08,1.76,42.4,-0.405,18.43,19.44,04a60211o0504o
60211.237823,14.483,0.006,5845,34,o,0,44.34,41.57554,-30.23949,3438.68,237.68,2.13,1.85,44.1,-0.407,19.26,20.51,04a60211o0527o
60211.243742,14.493,0.006,5791,34,o,0,31.8,41.57554,-30.23949,3462.31,120.32,1.99,1.78,45.7,-0.434,19.38,20.56,04a60211o0540o
60211.244194,14.467,0.006,5931,35,o,0,135.15,41.57554,-30.23949,6864.5,10400.29,1.97,1.82,-55.2,-0.445,19.37,20.55,04a60211o0541o
60211.249583,14.362,0.006,6536,38,o,0,79.0,41.57554,-30.23949,6846.79,10361.64,2.22,1.93,-63.9,-0.446,19.35,20.63,04a60211o0550o
60211.25149,14.368,0.006,6498,36,o,0,63.65,41.57554,-30.23949,6908.36,10440.15,1.93,1.81,-34.1,-0.481,19.38,20.61,04a60211o0554o
60214.160195,14.556,0.007,5465,40,o,0,4.53,41.57554,-30.23949,1369.83,1723.04,2.92,2.25,43.9,-0.38,18.48,19.29,04a60214o0400o
60214.16253,14.55,0.007,5493,38,o,0,4.77,41.57554,-30.23949,1349.68,1684.18,2.96,2.23,44.2,-0.396,18.48,19.33,04a60214o0405o
60214.165299,14.554,0.007,5473,37,o,0,8.21,41.57554,-30.23949,1408.98,1763.06,2.62,1.96,43.3,-0.416,18.63,19.32,04a60214o0411o
60214.171792,14.562,0.006,5433,34,o,0,11.68,41.57554,-30.23949,1429.82,1647.05,2.59,2.01,45.4,-0.425,18.62,19.34,04a60214o0425o
60215.95598,14.555,0.008,5472,43,o,0,3.2,41.57554,-30.23949,2628.49,5512.94,2.28,2.04,-52.9,-0.411,18.39,18.72,03a60216o0484o
60215.957786,14.573,0.007,5378,36,o,0,5.25,41.57554,-30.23949,2610.23,5473.53,2.27,2.02,-55.7,-0.415,18.39,18.72,03a60216o0488o
60215.971747,14.545,0.007,5520,40,o,0,3.75,41.57554,-30.23949,2670.87,5552.12,2.18,2.0,-56.9,-0.429,18.43,18.74,03a60216o0512o
60215.976996,14.535,0.007,5570,39,o,0,5.39,41.57554,-30.23949,2691.63,5436.76,2.23,2.01,-56.4,-0.436,18.43,18.75,03a60216o0522o
60217.213741,14.567,0.008,5410,42,o,0,3.68,41.57554,-30.23949,2703.33,5627.01,2.23,1.94,87.1,-0.39,18.47,18.77,04a60217o0518o
60217.21655,14.58,0.007,5348,39,o,0,7.31,41.57554,-30.23949,2685.01,5588.24,2.25,2.04,89.2,-0.389,18.48,18.76,04a60217o0524o
60217.219371,14.588,0.007,5307,40,o,0,7.3,41.57554,-30.23949,2747.45,5666.24,2.14,1.95,-89.0,-0.402,18.51,18.76,04a60217o0530o
60217.226198,14.577,0.008,5362,44,o,0,4.37,41.57554,-30.23949,2768.15,5550.99,2.23,2.01,85.4,-0.402,18.51,18.77,04a60217o0545o
60218.978604,14.601,0.007,5244,37,o,0,6.03,41.57554,-30.23949,5423.45,2022.35,2.23,2.14,-39.9,-0.452,18.88,19.51,03a60219o0546o
60218.980869,14.613,0.007,5188,35,o,0,7.02,41.57554,-30.23949,5405.16,1983.95,2.24,2.17,-40.1,-0.447,18.86,19.51,03a60219o0551o
60218.983624,14.613,0.007,5184,36,o,0,6.05,41.57554,-30.23949,5461.4,2063.66,2.26,2.18,-38.4,-0.446,18.87,19.51,03a60219o0557o
60218.990699,14.609,0.007,5206,35,o,0,4.76,41.57554,-30.23949,5485.8,1948.96,2.33,2.24,-15.6,-0.43,18.83,19.4,03a60219o0572o
60221.966563,14.67,0.008,4922,40,o,0,8.6,41.57554,-30.23949,9851.28,7779.23,2.52,2.04,-52.0,-0.394,18.58,19.32,03a60222o0507o
60221.97213,14.676,0.01,4894,47,o,0,3.47,41.57554,-30.23949,9830.65,7741.09,2.63,2.1,-51.0,-0.381,18.34,18.97,03a60222o0517o
60221.976098,14.648,0.009,5020,47,o,0,3.85,41.57554,-30.23949,9889.67,7819.6,2.62,2.21,-54.9,-0.381,18.37,19.09,03a60222o0525o
60221.995605,14.676,0.009,4892,42,o,0,6.42,41.57554,-30.23949,9916.31,7705.74,2.59,2.12,-52.8,-0.384,18.47,19.2,03a60222o0561o
60223.218341,14.981,0.007,3694,25,c,0,27.59,41.57554,-30.23949,10008.73,7727.34,2.86,2.48,-18.2,-0.388,19.64,21.74,04a60223o0510c
60223.220554,15.022,0.007,3557,25,c,0,32.92,41.57554,-30.23949,9988.89,7689.44,2.78,2.43,-29.6,-0.399,19.65,21.73,04a60223o0514c
60223.22404,15.031,0.007,3528,25,c,0,21.85,41.57554,-30.23949,10051.99,7766.88,2.87,2.56,-20.9,-0.385,19.62,21.74,04a60223o0521c
60223.239394,15.019,0.007,3568,25,c,0,31.83,41.57554,-30.23949,10081.89,7651.28,2.77,2.4,-20.1,-0.406,19.61,21.59,04a60223o0550c
60226.1958,14.718,0.006,4708,28,o,0,49.24,41.57554,-30.23949,2607.67,10095.85,2.58,1.86,-76.4,-0.429,19.48,21.04,04a60226o0466o
60226.198981,14.484,0.006,5839,35,o,0,89.57,41.57554,-30.23949,2589.39,10056.49,2.43,1.87,-74.7,-0.474,19.49,21.0,04a60226o0473o
60226.20308,14.735,0.006,4636,28,o,0,55.65,41.57554,-30.23949,2652.49,10135.48,2.36,1.89,-77.6,-0.459,19.55,21.05,04a60226o0482o
60226.221847,14.675,0.006,4896,29,o,0,54.93,41.57554,-30.23949,2687.45,10018.12,2.61,1.79,-76.0,-0.429,19.56,21.15,04a60226o0521o
60227.956667,14.779,0.006,4450,28,o,0,6.8,41.57554,-30.23949,8522.22,3906.17,2.6,2.39,-42.3,-0.423,19.34,20.76,03a60228o0434o
60227.960872,14.771,0.006,4483,26,o,0,12.95,41.57554,-30.23949,8504.11,3867.37,2.37,2.11,-51.2,-0.424,19.45,20.74,03a60228o0442o
60227.964487,14.777,0.006,4458,27,o,0,10.03,41.57554,-30.23949,8560.13,3946.34,2.38,2.24,-56.0,-0.425,19.43,20.71,03a60228o0450o
60227.972191,14.766,0.006,4504,28,o,0,14.5,41.57554,-30.23949,8585.69,3831.49,2.22,2.01,-47.3,-0.449,19.5,20.78,03a60228o0467o
60229.190481,14.799,0.006,4369,27,o,0,31.72,41.57554,-30.23949,8556.12,3876.1,2.46,2.12,-28.7,-0.41,19.5,21.11,04a60229o0454o
60229.192766,14.807,0.006,4339,28,o,0,28.92,41.57554,-30.23949,8537.42,3837.66,2.4,2.0,-22.6,-0.428,19.57,21.15,04a60229o0459o
60229.196532,14.818,0.006,4295,26,o,0,44.4,41.57554,-30.23949,8597.85,3914.63,2.44,2.11,-23.3,-0.413,19.55,21.09,04a60229o0467o
60229.224774,14.784,0.006,4428,26,o,0,45.87,41.57554,-30.23949,8639.19,3800.03,2.46,2.06,-21.7,-0.407,19.55,21.3,04a60229o0526o
60232.190446,14.871,0.006,4090,26,o,0,31.55,41.57554,-30.23949,9226.47,1821.49,2.67,2.21,-32.0,-0.385,19.5,20.94,04a60232o0450o
60232.193715,14.854,0.006,4153,26,o,0,48.42,41.57554,-30.23949,9210.83,1783.41,2.7,2.2,-30.5,-0.386,19.46,21.02,04a60232o0457o
